id,vignette_text,message_a,relevance_a_1_5,specificity_a_1_5,sdt_alignment_a_1_5,motivational_usefulness_a_1_5,message_b,relevance_b_1_5,specificity_b_1_5,sdt_alignment_b_1_5,motivational_usefulness_b_1_5,message_c,relevance_c_1_5,specificity_c_1_5,sdt_alignment_c_1_5,motivational_usefulness_c_1_5,message_d,relevance_d_1_5,specificity_d_1_5,sdt_alignment_d_1_5,motivational_usefulness_d_1_5
v002,"I was assigned three additional committees without being consulted, on top of an already full teaching load.",It's understandable to feel angry about this.,4,4,2,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,4,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,2,2,4,2,"""Having three committees added to an already full teaching load—without even being asked—is genuinely a lot to carry. Your time and voice matter here. It's okay to advocate for boundaries; doing so isn't selfish, it's sustainable.""",5,3,5,2
v044,I am required to attend a full day of mandatory training that covers material I already teach myself.,"Your expertise in this very material speaks volumes about your dedication to the field. Sitting through what you already teach is genuinely frustrating, but perhaps one unexpected idea or connection emerges that finds its way back into *your* classroom. Your knowledge doesn't go unrecognized.",2,4,3,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,2,3,4,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,0,4,4,It's understandable to feel angry about this.,3,2,4,2
v003,The new digital platform was forced on us with no training and no choice in the matter.,It's understandable to feel angry about this.,4,3,1,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,4,4,3,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",1,2,2,5,"""Being handed a new platform without any training or say in the matter is genuinely frustrating — your expertise deserves more respect than that. Your voice matters here, and advocating for proper support isn't just reasonable; it's necessary.""",4,2,2,2
v041,I was never consulted before my course was moved to a time slot that conflicts with my research commitments.,"Your expertise and research commitments genuinely matter, and having your schedule changed without a conversation disregards that. You deserve to have your voice at the table when decisions affect your work. It's entirely reasonable to advocate for that consultation going forward.",3,6,2,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,3,1,1,That sounds like a genuinely frustrating situation to be in.,3,2,2,1,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,2,2,3,3
v001,"Administration keeps changing the syllabus requirements after I have already finalized my course, and nobody asks for my input.",That sounds like a genuinely frustrating situation to be in.,3,4,3,2,"""Having your finalized course altered without any input asked for is genuinely frustrating. Your expertise and preparation deserve a seat at that table. Consider requesting a formal channel for faculty feedback on syllabus changes — your voice matters in shaping these decisions.""",4,2,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,4,3,4,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,5,3,3,2
v053,It is unsettling how quickly a misconduct complaint disappeared once the accused brought in a large research grant.,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,4,3,5,3,That sounds like a really unpleasant situation to deal with.,3,1,3,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,5,5,6,"Your integrity in noticing that the complaint's swift disappearance followed the grant funding matters deeply. Even when institutional decisions feel compromised by money, your commitment to holding those standards keeps the foundation of genuine academic trust alive. That courage is not small.",3,1,1,6
v014,The way some senior staff take credit for their PhD students' work is appalling.,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,2,4,5,5,"""The work your students produce—and the mentorship that shapes it—doesn't go unnoticed by those who truly understand research. The scholarly community sees contributions more clearly than a title page suggests. Keep championing your students; that integrity speaks loudly.""",5,2,1,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,3,3,5,That sounds like a really unpleasant situation to deal with.,3,2,4,4
v049,Watching a colleague pressure their graduate students to work unpaid weekends under the threat of bad references is hard to ignore.,Your instinct to speak up when you see colleagues exploiting students' vulnerability over references shows real integrity. That discomfort you feel? It matters. You have standing to advocate for those students — your voice in this environment carries genuine weight.,5,4,1,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,5,5,3,That sounds like a genuinely frustrating situation to be in.,4,3,3,2,You may have more room to decide how you approach this than it feels like right now. What would reclaiming a small piece of control look like today?,2,3,3,4
v048,It bothers me that some colleagues pad their CVs with conference talks they never actually gave.,"Your integrity in building an honest record of your work is genuinely valuable—it matters more than it may feel right now. The talks you *actually* gave, the real contributions you made, carry weight that padded entries simply never can.",3,3,3,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,3,4,3,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,3,2,That sounds like a genuinely frustrating situation to be in.,4,2,3,1
v011,Some students openly use AI to write entire essays and still get full marks because nobody checks.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,4,3,3,It sounds like a decision was made without your input. What is one part of this you could still shape on your own terms?,5,3,0,3,It's understandable to feel angry about this.,4,3,4,2,"""The integrity you bring to education genuinely matters, even when the systems around you don't yet reflect that. The fact that you notice and care about who actually *earns* full marks shows exactly the kind of standard worth fighting to protect.""",3,3,2,3
v023,Reviewer two's comments on my last submission were so harsh that I am scared to submit anywhere again.,"""Reviewer two's harshness says nothing about your work's worth — harsh reviews often reflect a single perspective, not universal truth. Your research still deserves to be heard. One difficult review shouldn't silence your voice; other journals, other readers, and better fits are waiting for you.""",4,3,1,4,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",4,4,1,5,It's natural to feel anxious in a situation like this.,3,3,3,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,3,4,3
v019,I worry I will be replaced by an AI tool that can grade and lecture faster than I ever could.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,5,5,4,It's natural to feel anxious in a situation like this.,5,4,3,2,"Feeling uncertain before a high-stakes moment is common, even for very experienced people. What is one thing you already know you do well here?",2,2,3,3,"""Your ability to mentor, inspire curiosity, and truly *know* your students is something no grading algorithm can replicate. The irreplaceable part of teaching has always been the human connection you bring to the room — and that genuinely matters.""",3,1,4,2
v017,I am terrified that my upcoming tenure review will focus only on numbers and ignore years of mentoring work.,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",4,3,3,3,It's natural to feel anxious in a situation like this.,3,3,4,3,"Your years of mentoring have genuinely shaped students' lives and careers — that's real, substantive academic work. As your review approaches, consider documenting specific mentoring outcomes concretely. That evidence deserves a place in the conversation alongside any metrics.",2,3,4,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,1,3,2
v021,I am anxious that one bad semester of reviews could end my contract renewal.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,3,3,2,"""One difficult semester doesn't erase the expertise and dedication you bring to your work every day. Student reviews capture a moment, not your full value as an educator. Your commitment to growth is exactly what sustains a meaningful, lasting academic career.""",3,4,2,2,"Feeling uncertain before a high-stakes moment is common, even for very experienced people. What is one thing you already know you do well here?",3,2,2,2,That sounds like a genuinely worrying thing to be dealing with.,3,4,3,3
v022,I dread the annual performance meeting because I never know which numbers they will judge me by this time.,"It is understandable to worry about being judged. What would count as 'good enough' for you this time, separate from how others might score it?",3,3,1,2,That sounds like a genuinely worrying thing to be dealing with.,1,4,3,1,"""Not knowing which metrics will define your work this year is genuinely unsettling. Your contributions are far broader than any single number can capture — and advocating clearly beforehand for which measures best reflect your actual impact is both reasonable and worth pursuing.""",2,3,4,4,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,3,3
v068,I sometimes wonder if anyone would notice if I stopped showing up to non-mandatory department events.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",5,2,2,3,"It sounds like that's been a difficult, disheartening experience.",4,3,3,2,"""Your presence at those gatherings genuinely shapes the room, even when it doesn't feel that way. Colleagues notice the people who show up — and they notice when someone's missing. You matter more to that department than you're currently able to see.""",2,4,3,5,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",3,3,4,4
v066,"I quietly stepped down from chairing the committee I built over ten years, and there was no acknowledgment at all.",That sounds like a genuinely sad situation to be in.,2,3,4,2,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,3,3,3,"It sounds like this has felt isolating. Is there one colleague you could reach out to this week, even briefly?",2,4,3,3,"""Ten years of building something meaningful deserves more than silence. The work you poured into that committee shaped real people and outcomes — that legacy doesn't disappear with a quiet transition. The impact you created speaks louder than any acknowledgment ever could.""",2,3,3,4
v025,Nobody on the faculty has asked how I am doing since I came back from sick leave.,"It sounds like that's been a difficult, disheartening experience.",2,3,3,1,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,3,4,3,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",4,3,4,1,"""Returning from sick leave and feeling invisible to colleagues is genuinely hard — you deserved a warm welcome back. Your presence on that faculty matters, and I hope someone reaches out soon. You shouldn't have to navigate this return alone.""",3,4,4,3
v030,"After my student's thesis won an award, the department announcement did not even mention my name as the supervisor.","Your mentorship shaped that award-winning thesis, and no announcement can erase that. The student whose work succeeded knows exactly who guided them there. That relationship — and what you built together — is the real legacy worth holding onto.",2,2,3,5,"It sounds like that's been a difficult, disheartening experience.",3,3,2,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,2,4,4,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",4,2,4,5
v028,My mentor retired and I do not think anyone else here really knows what I am working on.,"It sounds like that's been a difficult, disheartening experience.",3,3,3,3,"Your mentor's retirement leaves a real void — having someone who truly understands your work matters deeply. Consider sharing your research with a colleague or collaborator, even briefly. You might be surprised who becomes genuinely curious. Your work deserves to be known.",0,1,2,2,"Your work seems to be going unnoticed right now, and that is worth naming. Who would you want to know about it?",2,3,2,3,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,1,1,2
v071,Our small reading group has turned into one of the most intellectually alive parts of my week.,"""There's something quietly powerful about a small group that chooses to think deeply together. The aliveness you're feeling in that reading circle is real and worth protecting — keep showing up for it. Those conversations matter more than you know.""",3,3,3,1,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,5,3,It's great that this felt like a positive experience for you.,2,3,3,4,This is a good sign that things are on the right track. Take a moment to actually notice it before moving to the next task.,1,5,3,4
v036,My colleagues organized a small celebration when I finally finished my habilitation.,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,4,2,3,It's great that this felt like a positive experience for you.,4,3,3,3,Completing your habilitation is a remarkable achievement that clearly resonates with everyone around you — your colleagues' celebration says it all. The dedication that milestone represents is something truly worth honoring. Savor this moment; you've more than earned it.,2,3,3,1,This is a good sign that things are on the right track. Take a moment to actually notice it before moving to the next task.,5,3,3,2
v075,Watching a once-struggling student finally have that 'click' moment in office hours made the whole semester worth it.,"""That 'click' moment you witnessed — you helped build it, patiently, one office hours session at a time. The student struggled, then didn't, partly because of you. That's not a small thing. It's exactly why your work matters.""",5,3,4,2,It's great that this felt like a positive experience for you.,4,5,3,2,"That is genuinely worth celebrating, well done. What made this moment work so well, so you can look for it again?",4,4,2,6,"Thank you for sharing how things are going. Keep up the great work, you are doing fine!",4,4,5,4
v034,"Our research group's paper just got accepted, and the whole team is genuinely proud.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",2,3,4,3,It's great that this felt like a positive experience for you.,3,3,4,3,"Congratulations on the acceptance — having your whole team share in that pride makes the achievement even more meaningful. The collective effort that goes into research like this is real, and moments like these are worth savoring together.",4,0,3,2,"That is genuinely worth celebrating, well done. What made this moment work so well, so you can look for it again?",2,4,2,4
v038,"The new lab equipment finally arrived, and I cannot wait to redesign the practical classes around it.","Thank you for sharing how things are going. Keep up the great work, you are doing fine!",3,2,2,4,"""The arrival of that new equipment is such an exciting milestone! Redesigning your practical classes around it gives you a real chance to shape how students experience the subject firsthand — that creative freedom in teaching is genuinely something to look forward to.""",4,3,2,5,It's great that this felt like a positive experience for you.,2,2,4,4,"That is genuinely worth celebrating, well done. What made this moment work so well, so you can look for it again?",3,2,3,2
